feature,importance
redshift_cube,0.5272467
redshift_log,0.09383892
redshift,0.088871814
griz,0.07473038
redshift_sq_griz,0.042882174
redshift_sq,0.040588036
ugri,0.021332456
redshift_bin,0.016183354
g,0.008778575
z,0.006630305
redshift_ugri,0.0061382214
u_div_g,0.0045323516
redshift_griz,0.00420131
i,0.0036583426
r,0.003550535
sin_delta,0.0035118663
u_g,0.0033260896
cos_alpha,0.0031021622
z_coord,0.0030199953
cos_delta,0.0025817524
u,0.002558349
alpha_delta,0.0024324774
alpha_rad,0.0024314402
delta,0.002430206
y_coord,0.0024285947
delta_rad,0.0024233512
redshift_g_r,0.0024012632
alpha,0.0023896073
x_coord,0.002362328
sin_alpha,0.0023085685
g_div_r,0.0021304083
g_r,0.0020301582
r_div_i,0.0018400659
redshift_u_g,0.0018134661
alpha_redshift,0.0015223841
redshift_r_i,0.0015129164
r_i,0.001287574
delta_redshift,0.0011831636
galaxy_population,0.0010463914
i_div_z,0.0009961047
i_z,0.0009459858
spectral_type,0.0008198964
