feature,importance
redshift_cube,0.29892486
redshift_log,0.14180782
redshift,0.14117561
griz,0.09776889
redshift_sq,0.06278609
redshift_sq_griz,0.055987217
ugri,0.029942948
redshift_bin,0.014329749
g,0.013541984
g_div_r,0.012672812
z,0.009902172
redshift_ugri,0.009624379
redshift_griz,0.007619265
i,0.005721048
u_div_g,0.0055799386
u_g,0.005431779
r,0.0051666345
cos_alpha,0.0048773126
cos_delta,0.0043038996
z_coord,0.0042708307
alpha,0.00425741
alpha_rad,0.004250227
delta_rad,0.004129522
sin_delta,0.0040993686
delta,0.003956518
sin_alpha,0.0037942822
u,0.0037622473
redshift_g_r,0.0037486868
x_coord,0.0037470516
alpha_delta,0.0035708817
y_coord,0.003566922
g_r,0.003551896
redshift_u_g,0.0029369679
r_div_i,0.0026411111
alpha_redshift,0.0025685655
redshift_r_i,0.0024806075
r_i,0.002355312
delta_redshift,0.0021694421
galaxy_population,0.0019526689
i_div_z,0.0017826589
i_z,0.0017227243
spectral_type,0.0015195924
