feature,importance
redshift,0.20703954
redshift_log,0.16699672
griz,0.12751116
redshift_sq,0.1237854
redshift_sq_griz,0.06630739
ugri,0.0531379
redshift_bin,0.02183446
g,0.020148404
redshift_cube,0.017858049
redshift_griz,0.014869497
g_div_r,0.014004038
z,0.013357796
redshift_ugri,0.011086526
u_g,0.008660232
i,0.008176505
u_div_g,0.007110428
cos_alpha,0.0070875245
z_coord,0.0069218464
r,0.0062556462
delta_rad,0.006078788
alpha_rad,0.0059639374
cos_delta,0.0059160437
u,0.0057986
delta,0.0054144165
sin_alpha,0.0052944645
alpha,0.005198852
x_coord,0.0051314407
alpha_delta,0.0050328798
y_coord,0.0049061035
redshift_g_r,0.004593886
sin_delta,0.0044179703
galaxy_population,0.0042689946
redshift_u_g,0.0037861627
redshift_r_i,0.0035972686
r_div_i,0.003486886
alpha_redshift,0.0033397572
g_r,0.0032545899
r_i,0.003250009
delta_redshift,0.002840222
i_div_z,0.0023150984
i_z,0.0022273387
spectral_type,0.0017373585
