feature,importance
redshift_cube,0.3366577
redshift_log,0.13332309
redshift,0.13268165
griz,0.09823267
redshift_sq_griz,0.05729319
redshift_sq,0.05683678
ugri,0.031545945
g,0.012613397
redshift_bin,0.010498343
z,0.009196743
redshift_ugri,0.00861018
redshift_griz,0.0074305395
sin_delta,0.0061607994
u_div_g,0.0056622988
i,0.005319572
g_div_r,0.0051936405
u_g,0.005105185
r,0.005009403
cos_alpha,0.004560178
alpha_rad,0.0043171737
cos_delta,0.004167398
z_coord,0.0041664704
alpha,0.0037761342
delta,0.0037634927
delta_rad,0.0037314729
sin_alpha,0.0036028838
u,0.0035858369
x_coord,0.003528263
alpha_delta,0.0034749536
y_coord,0.0033882966
redshift_g_r,0.0033464974
g_r,0.0032253843
redshift_u_g,0.002721658
r_div_i,0.002544368
alpha_redshift,0.0023611938
redshift_r_i,0.0023478272
r_i,0.0020592299
delta_redshift,0.0019137812
galaxy_population,0.0016187729
i_div_z,0.0015847964
i_z,0.0015139291
spectral_type,0.0013288845
