feature,importance
redshift_log,0.19010133
redshift,0.15199323
griz,0.10043291
redshift_ugri_sq,0.094704635
redshift_cube_ugri,0.08298233
redshift_sq,0.06992411
ugri,0.049558613
redshift_fourth,0.031429492
g,0.01634095
redshift_bin,0.014818246
redshift_log_griz,0.014051476
g_div_r,0.012485963
z,0.011014891
redshift_cube,0.010346999
redshift_log_ugri,0.010122118
u_div_g,0.009455457
redshift_griz,0.008281695
r,0.0061250464
i,0.0059447223
sin_delta,0.00593294
cos_alpha,0.0054788105
cos_delta,0.004923164
u_g,0.004836449
delta_rad,0.0047647636
redshift_griz_sq,0.004746789
redshift_sq_griz,0.0046105273
g_r,0.004591124
redshift_ugri,0.0045861234
alpha_rad,0.004472817
delta,0.0044669276
alpha,0.0043877917
sin_alpha,0.0042639025
x_coord,0.004225648
r_div_i,0.004050094
u,0.004027895
alpha_delta,0.0040249648
y_coord,0.0040190723
z_coord,0.0039147995
redshift_cube_griz,0.0037340748
redshift_g_r,0.0036674845
redshift_u_g,0.002686913
redshift_r_i,0.0026282668
r_i,0.0025343103
delta_redshift,0.0023570633
alpha_redshift,0.0023035945
i_div_z,0.0018744778
i_z,0.0017749417
