number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.9498758918273813,2026-06-06 16:08:10.039898,2026-06-06 16:08:49.330298,0 days 00:00:39.290400,0.8431187802493854,3.829760386166583,0.035340372176886334,12,2,2693,2.85527647028844,4.925421751291496,0.7460190188345956,COMPLETE
1,0.9527850146353728,2026-06-06 16:08:49.336078,2026-06-06 16:09:51.227739,0 days 00:01:01.891661,0.7740817433140887,0.9575321526434444,0.016569731783717952,9,1,3674,4.8951770365103195,6.260525925020449,0.8127386112799587,COMPLETE
2,0.9505650634943908,2026-06-06 16:09:51.233433,2026-06-06 16:10:39.919953,0 days 00:00:48.686520,0.9114607082745353,2.7866503295021423,0.012925565408732853,10,4,3169,0.49022420770016784,6.654162821922311,0.8951156694386379,COMPLETE
3,0.948008353475894,2026-06-06 16:10:39.926851,2026-06-06 16:11:15.441105,0 days 00:00:35.514254,0.7585079898014958,4.4943789617549275,0.01426449948400419,7,6,3347,3.332232421315626,4.386974288986467,0.7273089461160223,COMPLETE
4,0.946866840951587,2026-06-06 16:11:15.451231,2026-06-06 16:11:29.737760,0 days 00:00:14.286529,0.9468053930737177,4.306485197787009,0.052391863398148726,4,5,1457,3.2129345654553028,1.5350281346198602,0.6329993613401362,COMPLETE
5,0.9497282164710201,2026-06-06 16:11:29.743998,2026-06-06 16:11:51.353148,0 days 00:00:21.609150,0.9157352046908236,3.427601147391115,0.08419436774764881,11,8,2114,2.302406033462958,8.622394324495273,0.7011857875610762,COMPLETE
6,0.9528955030047851,2026-06-06 16:11:51.361011,2026-06-06 16:13:05.289688,0 days 00:01:13.928677,0.7940550363824137,0.7118132022207729,0.014595722591938472,11,7,3165,2.0759139204021775,3.6444911459812213,0.9063114839861827,COMPLETE
7,0.94860328642598,2026-06-06 16:13:05.300407,2026-06-06 16:13:29.871272,0 days 00:00:24.570865,0.6912652096731624,4.359770111648751,0.07967654555122144,10,6,2633,4.629905476883654,1.269323802629455,0.9097223855529278,COMPLETE
8,0.9497006247337204,2026-06-06 16:13:29.880232,2026-06-06 16:13:52.421614,0 days 00:00:22.541382,0.6951054506471327,3.851457795092582,0.056004743581062534,8,5,2300,0.4731468987464804,3.432612394337411,0.8910513984651331,COMPLETE
9,0.9471849595801566,2026-06-06 16:13:52.427955,2026-06-06 16:14:20.942571,0 days 00:00:28.514616,0.7366054138508347,3.2331812110956704,0.026016574509318866,5,1,3134,0.19711293649944506,9.305802945377945,0.9735867797012695,COMPLETE
10,0.9514102406211277,2026-06-06 16:14:20.952333,2026-06-06 16:14:52.535686,0 days 00:00:31.583353,0.6039996909342423,0.6811459789556529,0.1467833025434814,6,10,3963,1.5802479122754085,0.7030639413535864,0.9981448585275142,COMPLETE
11,0.953079450610046,2026-06-06 16:14:52.547193,2026-06-06 16:16:03.577619,0 days 00:01:11.030426,0.8186439033334469,0.6292884640792107,0.020119588752861253,9,10,3964,4.846496537321723,6.559358570357858,0.8161441706145248,COMPLETE
12,0.9521139373449644,2026-06-06 16:16:03.587311,2026-06-06 16:19:30.917759,0 days 00:03:27.330448,0.8238528499318148,0.023104335624391403,0.021235860450838626,12,10,3866,4.036067446846722,7.248476488281817,0.8516256817254182,COMPLETE
13,0.9516603554338371,2026-06-06 16:19:30.925895,2026-06-06 16:20:32.145476,0 days 00:01:01.219581,0.8574070896539453,1.78436736156686,0.010089192150120323,9,8,3475,1.354989449574556,3.1290322637465913,0.8195474442916727,COMPLETE
14,0.9517327843762993,2026-06-06 16:20:32.152927,2026-06-06 16:21:11.702072,0 days 00:00:39.549145,0.9876844559698655,1.6367563090757342,0.02722264232557927,10,8,2915,3.983554193753298,5.212904130236227,0.7845250270299541,COMPLETE
15,0.9531891521659813,2026-06-06 16:21:11.711623,2026-06-06 16:21:53.818801,0 days 00:00:42.107178,0.8028565820121063,0.062064653612746934,0.01845590904935367,8,10,1229,1.8099889700288703,7.89555220931022,0.9404730855367406,COMPLETE
16,0.9532393082993792,2026-06-06 16:21:53.823455,2026-06-06 16:22:35.385649,0 days 00:00:41.562194,0.8837951438302246,0.07797867375320378,0.034199653211732246,7,10,1476,1.3518561006327536,8.136659237892372,0.9548908511339957,COMPLETE
17,0.9531887807591448,2026-06-06 16:22:35.389494,2026-06-06 16:23:12.089244,0 days 00:00:36.699750,0.8841283700405613,0.03816585949318378,0.03520571239879385,7,9,1285,1.039549618758489,8.415874468405882,0.9558148613960286,COMPLETE
18,0.9507148106197988,2026-06-06 16:23:12.093463,2026-06-06 16:23:31.811944,0 days 00:00:19.718481,0.9863695126764774,1.534221639893635,0.040416072871908584,7,9,1654,2.1218063671571166,9.98789217651901,0.9400095694226034,COMPLETE
19,0.9517657846222606,2026-06-06 16:23:31.816402,2026-06-06 16:23:57.194466,0 days 00:00:25.378064,0.7074792090678875,1.3329269142878806,0.026535972373832123,6,9,1805,0.9195052132279238,7.777517091666659,0.8643798549650915,COMPLETE
20,0.9501659465414071,2026-06-06 16:23:57.200475,2026-06-06 16:24:29.361360,0 days 00:00:32.160885,0.8761073546855311,2.1386230007581446,0.010211613816434133,8,10,1226,1.7843054757214691,8.137741448931028,0.9372309766313734,COMPLETE
21,0.9531044885803648,2026-06-06 16:24:29.365800,2026-06-06 16:25:05.400997,0 days 00:00:36.035197,0.8945081576199863,0.07981045654708349,0.037146223734935424,7,9,1245,1.1962203303212846,8.855296649744945,0.9523912109107434,COMPLETE
22,0.952656460550271,2026-06-06 16:25:05.406138,2026-06-06 16:25:30.345843,0 days 00:00:24.939705,0.9350657983051892,0.358700877249489,0.05044927529846302,6,9,1819,0.8881791576178619,9.99006913600136,0.9912564270966904,COMPLETE
23,0.9532485662255391,2026-06-06 16:25:30.353170,2026-06-06 16:26:23.451333,0 days 00:00:53.098163,0.8673899036305366,0.038539532106976554,0.020384356218588123,8,8,1453,2.3794516284624057,7.652186025684768,0.9592031817114101,COMPLETE
24,0.9514851317565763,2026-06-06 16:26:23.457305,2026-06-06 16:26:54.491211,0 days 00:00:31.033906,0.8208632388427687,1.128252955836548,0.01879340365928239,8,7,1605,2.634483087552489,7.368158629499453,0.9244504216175441,COMPLETE
25,0.9531015844743472,2026-06-06 16:26:54.497123,2026-06-06 16:27:39.357484,0 days 00:00:44.860361,0.8583902041710929,0.5615052312486415,0.02598201671027627,8,7,1997,1.759257708519781,5.997374733378955,0.8669168848081129,COMPLETE
26,0.9516451138585406,2026-06-06 16:27:39.363476,2026-06-06 16:28:07.276648,0 days 00:00:27.913172,0.9528781426292848,0.3720973890059029,0.022178234017883058,5,8,1479,2.5963327387473436,7.636463209713692,0.9679728319135228,COMPLETE
27,0.9514763945613439,2026-06-06 16:28:07.280876,2026-06-06 16:28:31.788927,0 days 00:00:24.508051,0.7990534903659523,0.9779862318096609,0.031764514382227806,9,10,1490,3.235961631082502,9.304711123475622,0.9910990240286802,COMPLETE
28,0.9533121161886613,2026-06-06 16:28:31.793295,2026-06-06 16:29:27.141631,0 days 00:00:55.348336,0.6116478077762881,0.2776467733757829,0.01817743729046528,8,9,1812,1.5573146839912098,5.649568099290173,0.927186018925866,COMPLETE
29,0.9498659904322239,2026-06-06 16:29:27.146993,2026-06-06 16:29:52.419299,0 days 00:00:25.272306,0.6334007515635853,2.2428669317679013,0.03168207651633402,6,8,2385,2.407507460028912,5.413485475971459,0.8789923258095005,COMPLETE
30,0.9531585039152323,2026-06-06 16:29:52.426649,2026-06-06 16:30:25.304116,0 days 00:00:32.877467,0.6633483280861054,0.43604231127739984,0.04252080192003065,5,3,1958,2.9350016201669096,4.521001730392523,0.8418755082582506,COMPLETE
31,0.9533462652460288,2026-06-06 16:30:25.309947,2026-06-06 16:31:23.701443,0 days 00:00:58.391496,0.8500800121010608,0.22482429495859402,0.017567264382103223,8,9,1718,1.4764778691058789,6.951414197711314,0.9266240322472457,COMPLETE
32,0.9474179843509783,2026-06-06 16:31:23.707678,2026-06-06 16:31:47.454359,0 days 00:00:23.746681,0.8445022882520935,4.982297023115137,0.015668444009866618,7,9,1737,1.4639066513886665,5.777664110819937,0.9119231773151745,COMPLETE
33,0.9520401296040742,2026-06-06 16:31:47.459619,2026-06-06 16:32:38.402789,0 days 00:00:50.943170,0.9098060330380738,0.919512471230675,0.012787584457810804,9,7,2225,0.6413185544757711,6.529150871313295,0.9705459546765962,COMPLETE
