feature,importance
redshift,0.21239513
griz,0.18225792
redshift_sq,0.13485321
redshift_log,0.1281526
ugri,0.07638637
g,0.030713316
redshift_cube,0.027005002
z,0.022465263
g_div_r,0.02223102
i,0.013011061
z_coord,0.011670468
u_g,0.011370446
r,0.010788041
x_coord,0.010466032
galaxy_population,0.010394179
alpha,0.010012625
u_div_g,0.0100119505
delta,0.009884334
delta_rad,0.00954832
alpha_rad,0.0090436665
y_coord,0.008889619
u,0.008305899
r_div_i,0.0064999107
g_r,0.006157278
r_i,0.0058128005
i_div_z,0.0043429853
i_z,0.00402521
spectral_type,0.0033054498
